Bytes,Description
 F0 9F 98 81,grinning_face_with_smiling_eyes
 F0 9F 98 82,face_with_tears_of_joy
 F0 9F 98 83,smiling_face_with_open_mouth
 F0 9F 98 84,smiling_face_with_open_mouth_and_smiling_eyes
 F0 9F 98 85,smiling_face_with_open_mouth_and_cold_sweat
 F0 9F 98 86,smiling_face_with_open_mouth_and_tightly-closed_eyes
 F0 9F 98 89,winking_face
 F0 9F 98 8A,smiling_face_with_smiling_eyes
 F0 9F 98 8B,face_savouring_delicious_food
 F0 9F 98 8C,relieved_face
 F0 9F 98 8D,smiling_face_with_heart-shaped_eyes
 F0 9F 98 8F,smirking_face
 F0 9F 98 92,unamused_face
 F0 9F 98 93,face_with_cold_sweat
 F0 9F 98 94,pensive_face
 F0 9F 98 96,confounded_face
 F0 9F 98 98,face_throwing_a_kiss
 F0 9F 98 9A,kissing_face_with_closed_eyes
 F0 9F 98 9C,face_with_stuck-out_tongue_and_winking_eye
 F0 9F 98 9D,face_with_stuck-out_tongue_and_tightly-closed_eyes
 F0 9F 98 9E,disappointed_face
 F0 9F 98 A0,angry_face
 F0 9F 98 A1,pouting_face
 F0 9F 98 A2,crying_face
 F0 9F 98 A3,persevering_face
 F0 9F 98 A4,face_with_look_of_triumph
 F0 9F 98 A5,disappointed_but_relieved_face
 F0 9F 98 A8,fearful_face
 F0 9F 98 A9,weary_face
 F0 9F 98 AA,sleepy_face
 F0 9F 98 AB,tired_face
 F0 9F 98 AD,loudly_crying_face
 F0 9F 98 B0,face_with_open_mouth_and_cold_sweat
 F0 9F 98 B1,face_screaming_in_fear
 F0 9F 98 B2,astonished_face
 F0 9F 98 B3,flushed_face
 F0 9F 98 B5,dizzy_face
 F0 9F 98 B7,face_with_medical_mask
 F0 9F 98 B8,grinning_cat_face_with_smiling_eyes
 F0 9F 98 B9,cat_face_with_tears_of_joy
 F0 9F 98 BA,smiling_cat_face_with_open_mouth
 F0 9F 98 BB,smiling_cat_face_with_heart-shaped_eyes
 F0 9F 98 BC,cat_face_with_wry_smile
 F0 9F 98 BD,kissing_cat_face_with_closed_eyes
 F0 9F 98 BE,pouting_cat_face
 F0 9F 98 BF,crying_cat_face
 F0 9F 99 80,weary_cat_face
 F0 9F 99 85,face_with_no_good_gesture
 F0 9F 99 86,face_with_ok_gesture
 F0 9F 99 87,person_bowing_deeply
 F0 9F 99 88,see-no-evil_monkey
 F0 9F 99 89,hear-no-evil_monkey
 F0 9F 99 8A,speak-no-evil_monkey
 F0 9F 99 8B,happy_person_raising_one_hand
 F0 9F 99 8C,person_raising_both_hands_in_celebration
 F0 9F 99 8D,person_frowning
 F0 9F 99 8E,person_with_pouting_face
 F0 9F 99 8F,person_with_folded_hands
 E2 9C 82,black_scissors
 E2 9C 85,white_heavy_check_mark
 E2 9C 88,airplane
 E2 9C 89,envelope
 E2 9C 8A,raised_fist
 E2 9C 8B,raised_hand
 E2 9C 8C,victory_hand
 E2 9C 8F,pencil
 E2 9C 92,black_nib
 E2 9C 94,heavy_check_mark
 E2 9C 96,heavy_multiplication_x
 E2 9C A8,sparkles
 E2 9C B3,eight_spoked_asterisk
 E2 9C B4,eight_pointed_black_star
 E2 9D 84,snowflake
 E2 9D 87,sparkle
 E2 9D 8C,cross_mark
 E2 9D 8E,negative_squared_cross_mark
 E2 9D 93,black_question_mark_ornament
 E2 9D 94,white_question_mark_ornament
 E2 9D 95,white_exclamation_mark_ornament
 E2 9D 97,heavy_exclamation_mark_symbol
 E2 9D A4,heavy_black_heart
 E2 9E 95,heavy_plus_sign
 E2 9E 96,heavy_minus_sign
 E2 9E 97,heavy_division_sign
 E2 9E A1,black_rightwards_arrow
 E2 9E B0,curly_loop
 F0 9F 9A 80,rocket
 F0 9F 9A 83,railway_car
 F0 9F 9A 84,high-speed_train
 F0 9F 9A 85,high-speed_train_with_bullet_nose
 F0 9F 9A 87,metro
 F0 9F 9A 89,station
 F0 9F 9A 8C,bus
 F0 9F 9A 8F,bus_stop
 F0 9F 9A 91,ambulance
 F0 9F 9A 92,fire_engine
 F0 9F 9A 93,police_car
 F0 9F 9A 95,taxi
 F0 9F 9A 97,automobile
 F0 9F 9A 99,recreational_vehicle
 F0 9F 9A 9A,delivery_truck
 F0 9F 9A A2,ship
 F0 9F 9A A4,speedboat
 F0 9F 9A A5,horizontal_traffic_light
 F0 9F 9A A7,construction_sign
 F0 9F 9A A8,police_cars_revolving_light
 F0 9F 9A A9,triangular_flag_on_post
 F0 9F 9A AA,door
 F0 9F 9A AB,no_entry_sign
 F0 9F 9A AC,smoking_symbol
 F0 9F 9A AD,no_smoking_symbol
 F0 9F 9A B2,bicycle
 F0 9F 9A B6,pedestrian
 F0 9F 9A B9,mens_symbol
 F0 9F 9A BA,womens_symbol
 F0 9F 9A BB,restroom
 F0 9F 9A BC,baby_symbol
 F0 9F 9A BD,toilet
 F0 9F 9A BE,water_closet
 F0 9F 9B 80,bath
 E2 93 82,circled_latin_capital_letter_m
 F0 9F 85 B0,negative_squared_latin_capital_letter_a
 F0 9F 85 B1,negative_squared_latin_capital_letter_b
 F0 9F 85 BE,negative_squared_latin_capital_letter_o
 F0 9F 85 BF,negative_squared_latin_capital_letter_p
 F0 9F 86 8E,negative_squared_ab
 F0 9F 86 91,squared_cl
 F0 9F 86 92,squared_cool
 F0 9F 86 93,squared_free
 F0 9F 86 94,squared_id
 F0 9F 86 95,squared_new
 F0 9F 86 96,squared_ng
 F0 9F 86 97,squared_ok
 F0 9F 86 98,squared_sos
 F0 9F 86 99,squared_up_with_exclamation_mark
 F0 9F 86 9A,squared_vs
 F0 9F 87 A9 F0 9F 87 AA,regional_indicator_symbol_letter_d_+_regional_indicator_symbol_letter_e
 F0 9F 87 AC F0 9F 87 A7,regional_indicator_symbol_letter_g_+_regional_indicator_symbol_letter_b
 F0 9F 87 A8 F0 9F 87 B3,regional_indicator_symbol_letter_c_+_regional_indicator_symbol_letter_n
 F0 9F 87 AF F0 9F 87 B5,regional_indicator_symbol_letter_j_+_regional_indicator_symbol_letter_p
 F0 9F 87 B0 F0 9F 87 B7,regional_indicator_symbol_letter_k_+_regional_indicator_symbol_letter_r
 F0 9F 87 AB F0 9F 87 B7,regional_indicator_symbol_letter_f_+_regional_indicator_symbol_letter_r
 F0 9F 87 AA F0 9F 87 B8,regional_indicator_symbol_letter_e_+_regional_indicator_symbol_letter_s
 F0 9F 87 AE F0 9F 87 B9,regional_indicator_symbol_letter_i_+_regional_indicator_symbol_letter_t
 F0 9F 87 BA F0 9F 87 B8,regional_indicator_symbol_letter_u_+_regional_indicator_symbol_letter_s
 F0 9F 87 B7 F0 9F 87 BA,regional_indicator_symbol_letter_r_+_regional_indicator_symbol_letter_u
 F0 9F 88 81,squared_katakana_koko
 F0 9F 88 82,squared_katakana_sa
 F0 9F 88 9A,squared_cjk_unified_ideograph-7121
 F0 9F 88 AF,squared_cjk_unified_ideograph-6307
 F0 9F 88 B2,squared_cjk_unified_ideograph-7981
 F0 9F 88 B3,squared_cjk_unified_ideograph-7a7a
 F0 9F 88 B4,squared_cjk_unified_ideograph-5408
 F0 9F 88 B5,squared_cjk_unified_ideograph-6e80
 F0 9F 88 B6,squared_cjk_unified_ideograph-6709
 F0 9F 88 B7,squared_cjk_unified_ideograph-6708
 F0 9F 88 B8,squared_cjk_unified_ideograph-7533
 F0 9F 88 B9,squared_cjk_unified_ideograph-5272
 F0 9F 88 BA,squared_cjk_unified_ideograph-55b6
 F0 9F 89 90,circled_ideograph_advantage
 F0 9F 89 91,circled_ideograph_accept
 C2 A9,copyright_sign
 C2 AE,registered_sign
 E2 80 BC,double_exclamation_mark
 E2 81 89,exclamation_question_mark
 38 E2 83 A3,digit_eight_+_combining_enclosing_keycap
 39 E2 83 A3,digit_nine_+_combining_enclosing_keycap
 37 E2 83 A3,digit_seven_+_combining_enclosing_keycap
 36 E2 83 A3,digit_six_+_combining_enclosing_keycap
 31 E2 83 A3,digit_one_+_combining_enclosing_keycap
 30 E2 83 A3,digit_zero_+_combining_enclosing_keycap
 32 E2 83 A3,digit_two_+_combining_enclosing_keycap
 33 E2 83 A3,digit_three_+_combining_enclosing_keycap
 35 E2 83 A3,digit_five_+_combining_enclosing_keycap
 34 E2 83 A3,digit_four_+_combining_enclosing_keycap
 23 E2 83 A3,number_sign_+_combining_enclosing_keycap
 E2 84 A2,trade_mark_sign
 E2 84 B9,information_source
 E2 86 94,left_right_arrow
 E2 86 95,up_down_arrow
 E2 86 96,north_west_arrow
 E2 86 97,north_east_arrow
 E2 86 98,south_east_arrow
 E2 86 99,south_west_arrow
 E2 86 A9,leftwards_arrow_with_hook
 E2 86 AA,rightwards_arrow_with_hook
 E2 8C 9A,watch
 E2 8C 9B,hourglass
 E2 8F A9,black_right-pointing_double_triangle
 E2 8F AA,black_left-pointing_double_triangle
 E2 8F AB,black_up-pointing_double_triangle
 E2 8F AC,black_down-pointing_double_triangle
 E2 8F B0,alarm_clock
 E2 8F B3,hourglass_with_flowing_sand
 E2 96 AA,black_small_square
 E2 96 AB,white_small_square
 E2 96 B6,black_right-pointing_triangle
 E2 97 80,black_left-pointing_triangle
 E2 97 BB,white_medium_square
 E2 97 BC,black_medium_square
 E2 97 BD,white_medium_small_square
 E2 97 BE,black_medium_small_square
 E2 98 80,black_sun_with_rays
